,index,slug,holderCount,dailyActive,topTenHolderRatio,topTwentyHolderRatio,topFiftyHolderRatio,topHundredHolderRatio
200,0,alpha-finance-lab,8603.0,299.0,96.16,97.8,99.08,99.51
201,0,dao-maker,14382.0,646.0,92.92,95.31,97.17,98.11
202,0,hxro,6722.0,62.0,89.66,93.86,97.47,98.93
203,0,phantasma,3152.0,,16.19,23.03,33.66,44.62
204,0,nkn,,223.0,,,,
205,0,wilder-world,9639.0,,94.09,95.67,97.09,97.85
206,0,rlc,20318.0,438.0,49.54,59.52,69.94,77.79
207,0,decentral-games,2065.0,,90.0,94.16,97.39,98.69
208,0,akash-network,6.0,,,,,
209,0,mask-network,9708.0,208.0,86.89,91.27,96.8,99.98
210,0,kardiachain,3862.0,35.0,89.31,91.0,93.23,94.99
211,0,radicle,5477.0,108.0,79.6,88.05,94.75,97.83
212,0,keep3rv1,6606.0,114.0,72.38,82.58,91.22,94.17
213,0,stormx,46584.0,219.0,68.67,75.26,84.7,88.96
214,0,dawn-protocol,784.0,,92.9,96.32,98.84,99.64
215,0,stasis-euro,4424.0,75.0,95.33,97.27,99.03,99.71
216,0,deversifi,670.0,,98.09,99.73,99.92,99.92
217,0,deapcoin,12994.0,23.0,76.84,91.78,97.23,99.24
218,0,polkastarter,35079.0,943.0,66.69,77.15,82.03,84.41
219,0,aavegotchi,6941.0,,91.84,94.23,96.26,97.36
220,0,standard-tokenization-protocol,13509.0,,85.85,96.21,99.53,99.93
221,0,veritaseum,23893.0,,98.4,98.58,98.88,98.92
222,0,decentral-games-old,3157.0,,97.39,98.52,99.2,99.53
223,0,centrality,5181.0,,92.74,93.76,95.14,96.12
224,0,unibright,25059.0,408.0,13.1,19.78,30.47,40.68
225,0,c20,11585.0,,64.35,66.1,69.14,72.04
226,0,origin-protocol,40505.0,283.0,79.92,83.75,89.81,94.74
227,0,qredo,9019.0,,5.38,10.38,25.38,47.97
228,0,wrapped-ncg,3515.0,,65.35,79.3,93.45,97.64
229,0,badger-dao,30687.0,364.0,69.89,78.9,86.1,91.24
230,0,smooth-love-potion,13032.0,,,,,
231,0,rakon,663.0,0.0,99.21,99.53,99.84,99.84
232,0,funtoken,87004.0,,76.91,83.77,87.99,89.75
233,0,idex,13618.0,40.0,83.87,91.14,96.25,97.82
234,0,sport-and-leisure,831.0,,40.14,57.14,99.62,100.0
235,0,singularitynet,30397.0,308.0,46.5,53.5,62.26,67.13
236,0,utrust,26060.0,216.0,62.77,67.59,73.22,77.43
237,0,jasmy,19226.0,26.0,38.24,48.24,76.73,92.72
238,0,maple,2529.0,,71.0,78.45,87.18,92.38
239,0,peakdefi,9554.0,,96.6,97.15,97.59,97.79
240,0,susd,13870.0,469.0,71.13,80.82,90.09,94.03
241,0,mines-of-dalarnia,1052.0,,99.14,99.59,99.82,99.82
242,0,proton,12675.0,50.0,95.67,96.5,97.36,98.03
243,0,deeper-network,10029.0,,97.51,98.43,98.93,99.21
244,0,alien-worlds,3111.0,30.0,98.96,99.5,99.9,99.95
245,0,merit-circle,6911.0,,97.73,99.31,99.54,99.54
246,0,hoo-token,238.0,,99.69,99.79,99.95,99.95
247,0,radix,12533.0,161.0,87.13,90.33,93.75,95.57
248,0,metal,12415.0,95.0,84.1,90.57,95.1,96.44
249,0,truefi-token,5371.0,218.0,74.16,83.76,90.97,95.65
250,0,bzx-protocol,5699.0,63.0,98.62,99.0,99.33,99.41
251,0,verasity,65134.0,26.0,71.22,77.64,81.79,84.07
252,0,chrono-tech,1413.0,,89.01,95.6,97.36,97.95
